         50247 function calls (50245 primitive calls) in 190.815 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      166    0.000    0.000    0.000    0.000 generic.py:476(__init__)
       81    0.000    0.000    0.001    0.000 index.py:400(_ensure_compat_concat)
       81    0.000    0.000    0.007    0.000 session.py:463(msg)
      324    0.000    0.000    0.006    0.000 jsonapi.py:46(dumps)
      162    0.000    0.000    0.001    0.000 {hasattr}
       81    0.000    0.000    0.001    0.000 attrsettr.py:47(__getattr__)
       81    0.000    0.000    0.002    0.000 iostream.py:105(_flush_from_subprocesses)
      405    0.000    0.000    0.000    0.000 {method 'update' of '_hashlib.HASH' objects}
       81    0.000    0.000    0.002    0.000 urlparse.py:136(urlparse)
       81    0.000    0.000    0.307    0.004 internals.py:1400(_simple_blockify)
       81    0.000    0.000    0.000    0.000 __init__.py:52(create_string_buffer)
      166    0.000    0.000    0.001    0.000 {method 'decode' of 'str' objects}
       81    0.000    0.000    0.000    0.000 session.py:195(extract_header)
      243    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       81    0.000    0.000    0.000    0.000 {map}
       81    0.000    0.000    0.006    0.000 session.py:460(msg_header)
       81    0.000    0.000    0.002    0.000 parsers.py:168(_is_url)
       81    0.000    0.000    0.001    0.000 hmac.py:85(copy)
      166    0.000    0.000    0.001    0.000 generic.py:605(_consolidate_inplace)
       81    0.000    0.000    5.163    0.064 merge.py:1150(_get_concat_axis)
      142    0.000    0.000    0.000    0.000 frame.py:575(shape)
      166    0.000    0.000    0.000    0.000 {_codecs.utf_8_decode}
       84    0.000    0.000    0.000    0.000 {numpy.core.multiarray.empty}
       83    0.000    0.000    0.000    0.000 series.py:3047(_sanitize_array)
       81    0.000    0.000    0.005    0.000 session.py:425(msg_id)
       81    0.000    0.000    5.162    0.064 merge.py:1185(_concat_indexes)
      335    0.000    0.000    0.000    0.000 index.py:135(__array_finalize__)
       81    0.000    0.000    0.002    0.000 socket.py:210(send_multipart)
       81    0.000    0.000    0.001    0.000 parsers.py:844(_do_date_conversions)
      162    0.000    0.000    0.004    0.000 internals.py:1025(reindex_axis)
       81    0.000    0.000    0.003    0.000 index.py:2592(_union_indexes)
      339    0.000    0.000    0.001    0.000 index.py:261(values)
      324    0.000    0.000    0.006    0.000 session.py:82(<lambda>)
      241    0.000    0.000    0.003    0.000 {method 'all' of 'numpy.ndarray' objects}
       81    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       85    0.000    0.000    0.000    0.000 {sorted}
      411    0.000    0.000    0.000    0.000 internals.py:864(consolidate)
      166    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
       97    0.000    0.000    0.000    0.000 numeric.py:1666(isscalar)
       81    0.000    0.000    0.003    0.000 index.py:2689(_all_indexes_same)
      328    0.000    0.000    0.000    0.000 iostream.py:79(_is_master_process)
       81    0.000    0.000    0.000    0.000 index.py:2588(_get_distinct_indexes)
       81    0.000    0.000    0.000    0.000 uuid.py:197(__str__)
       81    0.000    0.000    0.000    0.000 iostream.py:82(_is_master_thread)
       81    0.000    0.000    0.001    0.000 index.py:843(isin)
       81    0.000    0.000    0.000    0.000 parsers.py:1563(_process_date_conversion)
       81    0.000    0.000    0.000    0.000 merge.py:812(_get_all_block_kinds)
       81    0.000    0.000    0.000    0.000 index.py:2633(_sanitize_and_check)
       86    0.000    0.000    0.000    0.000 index.py:291(_engine)
      166    0.000    0.000    0.000    0.000 frame.py:2048(__setattr__)
