         24731 function calls (24730 primitive calls) in 244.903 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      259    0.000    0.000    0.001    0.000 index.py:261(values)
       82    0.000    0.000    0.004    0.000 index.py:2573(_get_combined_index)
       83    0.000    0.000    0.000    0.000 {cPickle.dumps}
       93    0.000    0.000    0.003    0.000 {getattr}
       81    0.000    0.000    0.001    0.000 pp.py:655(__scheduler)
       81    0.000    0.000    0.000    0.000 pp.py:73(__init__)
      833    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       82    0.000    0.000    0.001    0.000 frame.py:446(_from_axes)
        2    0.000    0.000    0.000    0.000 {pandas.algos.ensure_platform_int}
       82    0.000    0.000    0.004    0.000 merge.py:1142(_get_comb_axis)
       85    0.000    0.000    0.001    0.000 index.py:294(<lambda>)
       64    0.000    0.000    0.000    0.000 tokenize.py:264(generate_tokens)
      168    0.000    0.000    0.000    0.000 generic.py:542(_clear_item_cache)
      164    0.000    0.000    0.001    0.000 generic.py:609(consolidate)
        3    0.000    0.000    0.050    0.017 pp.py:140(start)
      164    0.000    0.000    0.000    0.000 generic.py:518(ndim)
       54    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
      170    0.000    0.000    0.000    0.000 internals.py:96(dtype)
      328    0.000    0.000    0.000    0.000 merge.py:988(<genexpr>)
       81    0.000    0.000    0.001    0.000 pp.py:633(__dumpsfunc)
       83    0.000    0.000    0.000    0.000 {zip}
      246    0.000    0.000    0.000    0.000 index.py:2589(<genexpr>)
       15    0.000    0.000    0.000    0.000 {posix.close}
       87    0.000    0.000    0.000    0.000 {range}
        1    0.000    0.000    0.050    0.050 pp.py:280(__init__)
        3    0.000    0.000    0.042    0.014 pptransport.py:133(receive)
       82    0.000    0.000    0.000    0.000 merge.py:1108(_get_result_dim)
       85    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        3    0.000    0.000    0.008    0.003 subprocess.py:650(__init__)
        1    0.000    0.000    1.096    1.096 nanops.py:104(_nanmean)
       48    0.000    0.000    0.000    0.000 {fcntl.fcntl}
      267    0.000    0.000    0.000    0.000 internals.py:599(<genexpr>)
      360    0.000    0.000    0.000    0.000 {method 'release' of 'thread.lock' objects}
        2    0.000    0.000    0.001    0.001 internals.py:1107(reindex_items)
       84    0.000    0.000    0.000    0.000 __init__.py:1342(isEnabledFor)
      164    0.000    0.000    0.000    0.000 internals.py:529(ndim)
       87    0.000    0.000    0.000    0.000 {sum}
        9    0.000    0.000    0.000    0.000 {pandas.lib.is_period_array}
        1    0.000    0.000    0.000    0.000 {pandas.lib.clean_index_list}
        2    0.000    0.000    0.000    0.000 ultratb.py:141(findsource)
      172    0.000    0.000    0.000    0.000 internals.py:609(<genexpr>)
       84    0.000    0.000    0.000    0.000 __init__.py:1328(getEffectiveLevel)
       81    0.000    0.000    0.000    0.000 __init__.py:1127(debug)
        9    0.000    0.000    0.000    0.000 {posix.fdopen}
        3    0.000    0.000    0.000    0.000 series.py:332(__new__)
        2    0.000    0.000    0.001    0.001 frame.py:469(_init_dict)
      174    0.000    0.000    0.000    0.000 internals.py:555(_get_items)
        3    0.000    0.000    6.319    2.106 frame.py:4885(_reduce)
